1	0.0000	0.0000	0.0000	0.0345	0.1551	0.1957
2	0.0272	0.0288	0.0273	0.0224	0.0144	0.0224
3	0.1728	0.1661	0.1592	0.1507	0.1559	0.3249
4	0.5909	0.5792	0.5663	0.9858	0.9647	0.9398
5	0.3826	0.3829	0.4188	0.7167	0.1134	0.1723
6	0.4005	0.3924	0.3879	1.1522	1.1414	1.2880
7	0.9479	0.9660	1.0853	0.8900	0.8240	0.7359
8	0.0057	-0.0016	0.0022	0.0060	0.0038	0.1188
9	0.0266	0.0842	0.0872	0.0865	0.1007	0.0806
10	0.6956	0.6504	0.0000	0.0000	0.0000	0.0000
11	0.0187	0.0091	0.0126	0.0277	0.0489	0.0554
12	0.0526	0.0857	0.0328	0.0383	0.0833	0.0472
13	0.0046	0.0103	0.0103	0.0103	0.0103	0.0193
14	0.5271	0.5162	0.9540	0.9386	0.9624	0.9400
15	0.2220	0.2275	0.2388	0.2542	0.2682	0.2835
16	0.6042	0.5906	0.5754	0.5623	0.5835	1.0123
17	0.9552	0.8953	0.9169	0.8714	0.9005	0.7688
18	0.6112	0.0183	0.2190	0.6083	0.7704	0.7915
19	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21	0.0072	0.0908	0.1586	0.1884	0.2130	0.2951
22	0.0026	0.0053	0.0000	0.0026	0.0026	0.0026
23	0.6573	0.6701	0.6287	0.6431	0.6064	0.5870
24	0.0000	0.0000	0.0012	0.0033	0.0432	0.0122
25	0.0921	0.0707	0.0600	0.0000	0.0786	0.0527
26	0.6009	0.5966	0.5793	0.7205	0.8362	0.9524
27	-0.0032	0.0021	-0.0010	0.0043	-0.0071	-0.0018
28	0.3923	0.3786	0.3576	0.3433	0.3228	0.4508
29	0.0051	0.6086	0.0408	0.0683	0.0683	0.0130
30	0.2280	0.3675	0.3581	0.3499	0.3315	0.3066
31	0.1605	0.0622	0.0667	0.0577	0.0751	0.0724
32	0.4736	0.4643	0.4547	0.4420	0.5924	0.6104
33	0.7559	0.7870	0.8096	0.8288	0.8407	0.9304
34	0.0180	0.1429	0.0150	0.0454	0.0083	0.0219
35	0.0106	0.0000	0.0064	0.0623	0.0100	0.0274
36	-0.0118	-0.0093	-0.0058	-0.0033	-0.0008	0.1892
37	0.6336	0.6211	0.6086	0.6444	0.6476	0.6661
38	0.3110	-0.4723	0.1004	0.1845	0.1634	0.2509
39	0.0000	0.0000	0.0000	0.0000	0.0156	0.0000
40	0.0338	0.0642	0.0356	0.0166	0.0324	0.0018
41	0.4978	0.5444	1.7464	0.5747	0.6147	0.6074
42	0.9424	0.9245	0.9100	0.9136	0.9571	0.9646
43	0.4451	0.3670	0.3576	0.6003	0.3184	0.1877
44	0.4986	0.4791	0.4591	0.4495	0.4396	0.4250
45	0.7299	0.6659	0.6302	0.6480	0.5324	0.4732
46	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
47	0.0000	0.8338	0.8171	0.7900	0.8242	0.7014
48	0.0000	0.0000	0.0078	0.0078	0.0202	0.0298
49	0.0312	0.0312	0.0843	0.0398	0.0567	0.0590
50	1.0032	1.0240	0.9933	0.9738	0.9240	0.8724
51	0.5623	0.5523	0.5632	0.5479	0.5167	0.5292
52	0.3326	0.3576	0.3962	0.4382	0.5116	0.6156
53	0.0015	0.0114	0.0361	0.0245	0.0254	0.0434
54	0.2518	0.2468	0.2417	0.2375	0.2319	0.2300
55	0.1103	0.1403	0.1768	0.2096	0.2333	0.3082
56	0.0051	0.0003	0.0000	0.0003	0.0073	0.0038
57	0.0462	-0.0038	0.0397	0.0469	0.0877	0.0910
58	0.7218	0.7345	0.9367	0.9573	0.9636	0.9771
59	0.0071	0.0035	0.0058	0.0039	0.0055	0.0079
60	0.9102	0.8916	0.9005	1.0105	0.9971	1.0003
61	0.0311	0.0277	0.0299	0.0378	0.0473	0.0457
62	0.0119	0.2014	0.2360	0.9991	1.0294	1.0114
63	0.5653	0.5533	0.5173	0.5318	0.4860	0.4997
64	0.0000	0.0000	0.0000	0.0000	0.5833	0.5744
65	0.0000	0.0181	0.0000	0.0000	0.0000	0.0008
66	0.0396	0.0410	0.0409	0.7204	0.7438	0.7626
67	0.4326	0.4196	0.4062	0.3978	0.4193	0.2097
68	0.0202	0.0014	0.0109	0.0055	0.0014	0.0014
69	0.0563	0.0782	0.0793	-0.0758	-0.0758	-0.0015
70	0.2991	0.5603	0.9043	0.8643	0.8602	0.9283
71	0.0049	0.0049	0.0049	0.0049	0.0000	0.0098
72	0.1985	0.1947	0.1832	0.1881	0.1851	0.1821
73	0.0158	0.0192	0.0262	-0.0034	0.0289	0.0454
74	0.0000	0.0081	0.0000	0.0109	0.0000	0.0000
75	0.0759	0.2357	0.0126	0.0686	0.0163	0.0090
76	0.9272	0.8666	0.8488	0.8321	0.8608	0.7310
77	0.2006	0.1918	0.1927	0.7217	0.7445	0.8568
78	0.0010	0.0010	0.0010	0.0010	0.0010	0.0010
79	0.2137	0.8815	0.9335	1.0109	0.9871	0.9462
80	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
81	0.0636	0.0623	0.1488	0.3462	0.3357	0.3516
82	0.0005	0.5000	0.0919	0.0844	0.0772	0.0650
83	0.3295	0.3317	0.3666	0.4685	0.4579	0.4387
84	0.2351	0.2625	0.2611	0.3170	0.3477	0.3290
